"","a","b","c","classificacoes",,
"193",0.456065182435393,0.233476154076011,0.52262171840681,1,58,
"194",0.444491274996964,0.234617803956896,0.308466583154942,1,59,
"195",0.45522327577342,0.234351300962719,0.276148380963718,1,60,
"196",0.446616652763812,0.234533369586301,0.297856776466753,1,61,
"197",0.447780868374458,0.234580812089448,0.269807718638651,1,62,
"198",0.448544996594722,0.233466339541308,0.319652915700678,1,63,
"199",0.447607270558819,0.232541218228737,0.241135527815272,1,64,
"200",0.437975081450595,0.240621114013174,0.0338757513350336,3,65,
"201",0.449877629236422,0.232264818034999,0.3004820269528,1,66,
"202",0.451656116946297,0.236484708714721,0.226244357546828,1,67,
"203",0.446642418628765,0.23231940934712,0.304259676075556,1,68,
"204",0.447932494683514,0.230994469169172,0.339928050307782,1,69,
"205",0.439036413460541,0.232570605421015,0.0216812744193617,3,70,
"206",0.441956136280843,0.22881247318948,0.0056337885242357,3,71,
"207",0.440745549897589,0.231135287214936,0.0191211417981065,3,72,
"208",0.453830839535944,0.235089191932918,0.311222625968562,1,73,
"209",0.434764284501681,0.211924943794767,0.101249195634736,3,74,
"210",0.460503119765698,0.23404118999094,0.347195265956882,1,75,
"211",0.440477055645705,0.231597160926362,0.0144503746495571,3,76,
"212",0.441381539563995,0.23419457508236,0.192741922020747,3,77,
"213",0.437309711442639,0.252469075951246,0.0526522549036456,3,78,
"214",0.447054891665157,0.231461923812863,0.259421637612557,1,79,
"215",0.438693367105123,0.23661005168233,0.100836106442685,3,80,
"216",0.464429285549613,0.234399838208666,0.275974633458105,1,81,
"217",0.443150035723439,0.227656621163929,0.0106446321714412,3,82,
"218",0.430967945075479,0.219093200753122,0.310845599984763,1,83,
"219",0.451591743174539,0.234412515092915,0.296986078662202,1,84,
"220",0.447256088208803,0.229143691049386,0.0873036225385479,3,85,
"221",0.449725345704479,0.23230104035122,0.418676994426153,1,86,
"222",0.443496975395687,0.232262254392528,0.190914611067134,3,87,
"223",0.445148793851483,0.233957769621581,0.352531642549843,1,88,
"224",0.447859442252907,0.226549198546571,0.0233567374874178,3,89,
"225",0.450860636025922,0.231513638572543,0.32853679433415,1,90,2011
"226",0.468526363606026,0.232954852740026,0.970123233718222,2,46,2010
"227",0.593989779415491,0.234556068162481,0.674218175492809,2,47,
"228",0.452355484743685,0.236794993052626,0.587383114661731,2,48,
"229",0.453647182723236,0.232953412220346,1,2,49,
"230",0.59398977941484,0.234556068162481,0.674218175492806,2,50,
"231",0.436903910690891,0.228870086279342,0.122778986398855,3,51,
"232",0.454983152507857,0.233797285747821,0.713120843110148,2,52,
